copy1	copy2	ID.1	ID.2	TEconsensus.1	TEconsensus.2	species.1	species.2	superfamily	mrca	divTime	pID	length	qStart	qEnd	sStart	sEnd	ka	ks	length.aa	community	hitGroup	independent	subClass	newName
GCA_015478945.1-JABUQX010146498.1-63590-65452-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	74734	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.895	1867	1	1839	57	1892	0.0631116287089894	0.177192135130744	1422	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010105192.1-71104-72964-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	82176	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.614	1865	24	1860	1892	57	0.0652436871190314	0.160788736753491	1383	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010015813.1-54387-56015-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	99884	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.553	1639	1	1605	270	1892	0.0726302161409588	0.175535692996579	1374	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010014740.1-19942-21784-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	77614	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.534	1861	24	1842	1892	57	0.0650983410783525	0.167034847425668	1398	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010144314.1-7922-9736-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	98590	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.43	1774	96	1814	1799	57	0.0652922618848124	0.162289670178302	1248	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010060490.1-54515-56478-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	78328	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.346	1865	121	1940	52	1892	0.065018099775135	0.173720645818177	726	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010071918.1-32034-33886-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	83705	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.261	1727	88	1803	1799	106	0.0815429449246119	0.200612383628512	834	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010059808.1-31660-33492-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	90271	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.097	1860	24	1832	1892	57	0.0733862472579505	0.150806687663773	1059	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010089992.1-40414-42282-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	84260	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	87.006	1770	1	1762	57	1799	0.115903721371678	0.187158820047627	954	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010141890.1-291-2118-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	85865	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.795	1772	1	1766	57	1799	0.0991622302622374	0.189835341259606	1089	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010054452.1-12416-14358-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	89409	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.761	1775	121	1848	52	1799	0.0819124114512467	0.185864916883824	1233	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010109250.1-30618-32442-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	88947	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.72	1860	24	1824	1892	57	0.0661216298389572	0.157151106124446	1161	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010083705.1-16644-18391-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	92504	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.454	1757	1	1747	1779	57	0.0922746104513053	0.17446907144176	1176	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010021851.1-20994-22811-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	84430	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.402	1765	1	1758	57	1799	0.0902515658972748	0.216039529675856	1020	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010032229.1-38143-40001-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	76859	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.388	1866	9	1834	52	1892	0.0894776860078939	0.155483236481149	1389	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010063449.1-49627-51465-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	92726	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.376	1769	86	1838	1799	57	0.0993659008874245	0.202865067465556	1173	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010136133.1-3433-5223-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	99801	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.348	1780	48	1790	1799	57	0.0760878406998786	0.157012546445326	1260	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010148101.1-23931-25716-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	100572	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.24	1766	60	1785	1799	57	0.0926635766593084	0.209965777644324	1149	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010097866.1-9714-11555-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	89003	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.201	1848	14	1818	71	1892	0.0771128897533027	0.188038200878674	1335	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010113966.1-30247-32028-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	92184	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.155	1719	1	1690	57	1750	0.102547971060219	0.159021127580035	1314	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010027071.1-13884-15712-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	90736	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	86.022	1860	1	1805	57	1892	0.0770922980415013	0.16945475696839	1392	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010145277.1-25960-27815-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	411290	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.952	1865	1	1832	57	1892	0.0751712926409401	0.196968637892287	1389	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010148053.1-35980-37693-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	99356	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.871	1734	2	1713	1765	57	0.105378516902723	0.198085348205395	1236	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010059807.1-17074-18993-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	84146	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.851	1781	107	1871	52	1799	0.097129268827064	0.190738938267012	1245	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010143530.1-54396-56283-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	82714	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.803	1775	1	1770	57	1799	0.109006255403294	0.20823954789454	1410	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010055124.1-24530-26413-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	90757	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.746	1803	94	1879	1799	52	0.0834327149116161	0.292639284718153	693	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010006570.1-24788-26597-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	336480	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.699	1867	24	1809	1892	57	0.0623678538937718	0.156803320401605	1398	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010028081.1-29975-31634-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	91262	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.599	1611	61	1659	1799	211	0.12858070666633	0.195746027485415	1317	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010081705.1-2637-4439-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	100765	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.568	1760	97	1798	1799	52	0.0856659777916824	0.203841034901719	1131	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010068286.1-2625-4395-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	87195	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.549	1730	51	1764	1799	95	0.117020745313421	0.248101276257531	1065	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010012944.1-8984-10797-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	100755	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.538	1860	24	1813	1892	57	0.0610995217605962	0.175315195407084	1209	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010023807.1-1393-2921-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	105000	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.426	1537	1	1528	242	1760	0.117498226120672	0.257802078653884	885	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010019306.1-53584-55394-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	92048	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.417	1776	60	1810	1799	57	0.120831521189679	0.145243179190745	897	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010048402.1-7024-8861-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	92286	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.168	1726	121	1822	1769	76	0.114603587627225	0.21633525806468	753	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010134499.1-8645-10516-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	84917	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.039	1778	11	1777	45	1799	0.117133583587598	0.240304116775779	879	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010096650.1-23883-25598-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	91721	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	85.035	1724	1	1697	57	1744	0.0978634186278332	0.186056899769056	993	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010029349.1-40405-42159-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	90426	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	84.939	1733	59	1748	1799	95	0.101592848766077	0.202507946244813	1311	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010039023.1-53481-55105-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	99824	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	84.915	1644	1	1623	1717	105	0.107955233807482	0.22901133967028	828	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010143959.1-3687-5518-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	84448	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	84.907	1769	1	1761	57	1799	0.130995386874939	0.219997454159162	993	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010148065.1-17288-19009-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	90903	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	84.877	1620	5	1610	200	1799	0.132648543272037	0.221263046055446	1167	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010090540.1-96435-98274-+-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	88189	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	84.85	1868	1	1825	57	1892	0.114302226492276	0.18690010141758	1032	1	1	FALSE	DNA	CMC-Chapaev-3
GCA_015478945.1-JABUQX010015547.1-26237-28034-C-Armadillidium_vulgare:rnd-4_family-653	GCA_018994145.1-CM032245.1-253166209-253168104-+-Armadillidium_vulgare:rnd-4_family-653	94091	1438599	Armadillidium_vulgare:rnd-4_family-653	Armadillidium_vulgare:rnd-4_family-653	Trachelipus_rathkii	Leptobrachium_ailaonicum	DNA/CMC-Chapaev-3	248	1359.616	84.814	1778	52	1797	1797	57	0.0980807817821338	0.212452458077697	1143	1	1	FALSE	DNA	CMC-Chapaev-3
